date,company,title,link,score,comment
2026-06-28,SCSK株式会社,SCSK 公式ホームページで不審な認証表示 - ScanNetSecurity,https://news.google.com/rss/articles/CBMibEFVX3lxTE1SUU9neldPMUM4R3NaNXNGNXZwYm5WUzdyeGw2WjZyTks2N3d0Wk56Z0tWQVlPRE1PcXhkQVhhYzhQLXFpbFdRcWZlZ1RYalJZTUJqRjBqVHlKNkFvcGJ1STdmRENsMHBZX0RNdQ?oc=5,0,
2026-06-28,SCSK株式会社,「SCSKのWell-Being経営」が目指す姿 - scsk.jp,https://news.google.com/rss/articles/CBMickFVX3lxTE1oYk5DdHVkYTlCbGIycU5naDNSUkVXZTNVVWY1WVYwR0JSYWJZSHpudVpFcnQwdDRmdzhrbDFHb015MHV1YmN4Z1M4eVo1dnQ5RkQ4azBIXy1WdkR0Q3NYRGRpakEwYS1VUlJ0ZVVTa1psUQ?oc=5,0,
2026-06-28,SCSK株式会社,SCSK、ネットワンシステムズを2027年4月に吸収合併、セキュリティ事業を中核に事業融合を加速 - IT Leaders,https://news.google.com/rss/articles/CBMiU0FVX3lxTE9BNVNjSXcxNVlDQ0J4R1BwdWN3U09IanZBMmxBenFTUEpoZUpaWmwyOFp3ZldjS1RvRWhiSFVTVk1SR2FseVJwY0R5YTIyanFGTzA4?oc=5,0,
2026-06-28,SCSK株式会社,AIネイティブな次世代型ERP「PROACTIVE」の新ラインアップ「PROACTIVE MES」を提供開始 - PR TIMES,https://news.google.com/rss/articles/CBMiakFVX3lxTFBrbWV1YnAzN1ZRbFNGTFhyYkhJZ2R3MUtvdHk3M3dWRm9Jbkk3U2JXemZZSktITGJMVktkNmd4T2JYYklFZDJrRkJ3WmdBLU5tRGo5enl5czNEakZybGZITW9wQVdfc21HaFE?oc=5,0,
2026-06-28,Vitalityプラン（住友生命保険相互会社）,フィットネスジムFIT365が健康増進型保険“住友生命「Vitality」”の特典（リワード）に登場！ - PR TIMES,https://news.google.com/rss/articles/CBMiakFVX3lxTE9PVmFPcVRQZnVjMDVkRGpuSmEwNHFxanZURDVsbjhSZGY1cl9BSW5sZHhZZHhzNTM3Z1FGOVVoM3Z2ZjFNdW0yZVV3WUwtLWRmek8wVVFvRjczSVNTd2xaSUx6bnRFb0dXcEE?oc=5,0,
2026-06-28,Vitalityプラン（住友生命保険相互会社）,ウェルネスフロンティア、“住友生命「Vitality」”のパートナー企業として業務提携 | 株式会社ヤマウチのプレスリリース - PR TIMES,https://news.google.com/rss/articles/CBMiakFVX3lxTE1za2NsZ2xKdXNOazYxUFRCbEJidGRDQktDaGJ4c1d5ZVFhZlVKMHJQa0U0NGhGa0R2YTFoeU83bExfdWtvTDVLSEtHWTQ5TnNFVXpPaFJnNVNTbzlKSEMyVUFONWxVOHgyRlE?oc=5,0,
2026-06-28,Vitalityプラン（住友生命保険相互会社）,オイシックスやソフトバンクなど11社、住友生命「Vitality」向けに特典を提供 - bcnretail.com,https://news.google.com/rss/articles/CBMia0FVX3lxTFBBVG81aWhaQW9qMWVrQ25MYUlUNzIzTUtsZDZJSzI1QV9fYXNua0xyQXFhSVlmbFRHdXYydUh0X0FUM2RWd1NlOWdHWFFLYWZYM2RwVTJqWXZodFpGRnZxbTlhakloSE9YODkw?oc=5,0,
2026-06-28,Vitalityプラン（住友生命保険相互会社）,オイシックスやソフトバンクなど11社、住友生命「Vitality」向けに特典を提供 - Excite エキサイト,https://news.google.com/rss/articles/CBMiY0FVX3lxTE9pb0tkazR2R1lVZUhWRE54Y1NueEcyai1vdVp5d180MU4xMTg0RUJnQTZ4XzNvdUFEdGxFVFROM0hDOThVc3N1TThLeUc4dXdrekdOVnNpU0MtVjRaRS1fQ3dZTQ?oc=5,0,
2026-06-28,いすゞ自動車健康保険組合,企業・健保向け禁煙プログラム「みんチャレ禁煙」2025年1月回参加申し込みに限り特典付与決定 - PR TIMES,https://news.google.com/rss/articles/CBMiakFVX3lxTE1LVUoyY2RfZWZ3VV8tV01kWUtYY09RamFzeFMtMmtUREhGblZwSVBVZ3RxM1ZXZ2FkdE9penNZSlV6Y1hoV2drR0lVNWZYdHV0ZDhlenB0NmhzbU9sUGZfRllyRHFpYzlZbEE?oc=5,0,
2026-06-28,いすゞ自動車健康保険組合,『週1回の取り組み』最後まで続けた9割が健康習慣を意識 - PR TIMES,https://news.google.com/rss/articles/CBMiakFVX3lxTE5NNnJqYlFZNGFTOXA3SE9Tdm03OWFDUHBtb1lGZGl0RHd2bUoybHVwSmJwODR0RUJVeEJveFFTWDkzanFkc3BlTzZoR2VTLTZHTEVCaUJFeDNqVHRnZlNmMTR5bDlDa2RjSEE?oc=5,0,
2026-06-28,いすゞ自動車健康保険組合,吸わなかったタバコの合計金額や長さがユニークな豆知識に変換されて楽しく禁煙に取り組める！「みんチャレ禁煙」に新機能登場 - PR TIMES,https://news.google.com/rss/articles/CBMiakFVX3lxTE1UbG5QVFpvRTJxUXlhT3MwV1U5eUgyZDNKdy1sNmI3QVdxbm50VHNzLWJIRkRCbjYzTUdyWnhNOS1vZGdOQWdWNEtsckJTWkZpYURGLXdEd2dFaGF3QWU0Q3Q2dXZmTy1TbkE?oc=5,0,
2026-06-28,そごう・西武OB会,そごう・西武の売却、株主代表訴訟に発展 1511億円の賠償請求 - 朝日新聞,https://news.google.com/rss/articles/CBMiZkFVX3lxTFA4S3Z6WmZ6Vm5QdlpRUU1vT2FWSWtUdkYtRHpTT2o2c2tkdUJJQVpRTTEzOFVUZFdicDEtZHdfU2xjeTdzclFqb05rMW1DNDAyVzZtZHJFWnhiZmJnSWhXX1lqclhjZw?oc=5,0,
